rank_in_set,feature
1,syn_flag_count
2,init_win_bytes_forward
3,bwd_header_length
4,fwd_header_length
5,bwd_packet_length_max
6,init_win_bytes_backward
7,bwd_packet_length_std
8,avg_bwd_segment_size
9,total_backward_packets
10,total_length_of_bwd_packets
11,packet_length_std
12,max_packet_length
13,bwd_packet_length_mean
14,bwd_iat_total
15,bwd_iat_max
16,active_max
17,bwd_iat_mean
18,packet_length_variance
19,active_mean
20,total_fwd_packets
21,fwd_iat_total
22,fwd_iat_max
23,active_min
24,flow_iat_std
25,fwd_iat_mean
26,fwd_iat_std
27,flow_duration
28,down_up_ratio
29,has_init_win_bytes_backward
30,bwd_iat_std
31,bwd_packets_per_s
32,flow_bytes_per_s
33,ack_flag_count
34,flow_iat_max
35,average_packet_size
36,packet_length_mean
37,min_seg_size_forward
38,flow_packets_per_s
39,bwd_iat_min
40,fwd_packet_length_max
